Retailer Number,Retailer,Source/Affiliate Type,Connection Type,Username,Password,Server Name,Folder 1,Complete File Name,Incremental File Name,Delimiter,Staging table Name,Target Table,Full Load Flag,Incremental Load Flag,S3Flag,MySQLFlag,ESFlag
74,Dazadi ,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=6232&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
77,Marmot,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=7136&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
81,Aeropostale,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=5423&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
72,CellularOutfitter.com Dynamic,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=8148&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
73,CostumeKingdom.com,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=1036&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
103,Dunkin' Donuts Shop,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=8263&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
105,Irv's Luggage,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=2109&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
110,Bluemercury,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=7270&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
112,Skechers,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=8095&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
49,Campmor,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=6673&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
107,Kipling,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=5362&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
195,VIZIO,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=8436&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
50,Modell's Sporting Goods,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=7726&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
51,SpiritHalloween.com,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=8099&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
